algo,type,u,v,time_ms,cpu_ms,rss_mb,dist_km,path_nodes,ok
bellman_ford,long,5600925732,3707239294,2907.381,2906.25,,7.5045,111,1
bmssp,long,5600925732,3707239294,15.47,15.625,,7.5045,111,1
dijkstra,long,31000790,10783592449,31.22,31.25,,6.38784,74,1
bellman_ford,long,31000790,10783592449,1921.379,1921.875,,6.38784,74,1
bmssp,long,31000790,10783592449,12.768,15.625,,6.38784,74,1
dijkstra,long,3707248845,6238179715,32.17,31.25,,5.97513,44,1
bellman_ford,long,3707248845,6238179715,2382.513,2390.625,,5.97513,44,1
bmssp,long,3707248845,6238179715,13.315,15.625,,5.97513,44,1
dijkstra,long,1005765797,588513701,22.963,15.625,,4.03518,49,1
bellman_ford,long,1005765797,588513701,2402.482,2406.25,,4.03518,49,1
bmssp,long,1005765797,588513701,11.533,15.625,,4.03518,49,1
dijkstra,long,30964783,30965630,44.231,31.25,,5.61313,73,1
bellman_ford,long,30964783,30965630,1859.544,1796.875,,5.61313,73,1
bmssp,long,30964783,30965630,14.552,15.625,,5.61313,73,1
dijkstra,long,4429994171,5877112595,35.498,46.875,,6.46639,70,1
bellman_ford,long,4429994171,5877112595,2469.991,2437.5,,6.46639,70,1
bmssp,long,4429994171,5877112595,16.623,15.625,,6.46639,70,1
dijkstra,long,4437857739,8051802650,25.072,31.25,,6.44295,25,1
bellman_ford,long,4437857739,8051802650,2471.667,2453.125,,6.44295,25,1
bmssp,long,4437857739,8051802650,10.932,0.0,,6.44295,25,1
